Species,lipid_class,E11,E12,E14,E17,P0,P1,P7,P21,FA1,FA2
PC32:1p,PC,2.35E-05,4.51E-05,5.77E-05,5.82E-05,0.000197893,0.000163716,0.000246487,0.000115276,32:1,NA
PC32:0p,PC,8.49E-05,0.000142997,0.000153424,0.000167124,0.000587041,0.000409021,0.001066903,0.000619295,32:0,NA
PC34:1p,PC,5.00E-05,7.69E-05,9.67E-05,0.000121913,0.000382159,0.000361004,0.000861314,0.000278001,34:1,NA
PC34:0p,PC,0.000271641,0.00034491,0.000453065,0.000417228,0.001549822,0.00137952,0.001865685,0.000949044,34:0,NA
PC36:4p,PC,1.50E-05,3.03E-05,3.72E-05,3.63E-05,0.000112261,0.000228611,0.000554153,0.000698873,36:4,NA
PC36:3p,PC,9.32E-05,0.000190855,0.000224375,0.000244937,0.000686912,0.000734145,0.00223684,0.00211562,36:3,NA
PC36:2p,PC,2.70E-05,5.24E-05,7.60E-05,9.72E-05,0.000369763,0.000362942,0.000888311,0.00042415,36:2,NA
PC36:1p,PC,2.08E-05,2.71E-05,5.11E-05,6.38E-05,0.000326985,0.000276424,0.000306958,0.000122642,36:1,NA
PC36:0p,PC,6.13E-05,0.000101058,0.000162887,0.000156294,0.000804569,0.000898513,0.000448916,0.001045635,36:0,NA
PC38:4p,PC,6.47E-05,0.000121261,0.000128096,0.000157134,0.000749441,0.000684913,0.001347589,0.001328157,38:4,NA
PC38:3p,PC,3.31E-05,8.03E-05,9.26E-05,8.95E-05,0.000378634,0.000356753,0.000735453,0.000925084,38:3,NA
PC38:1p,PC,9.11E-06,1.49E-05,5.59E-05,4.17E-05,0.000165414,0.0005125,0.000320008,0.000966776,38:1,NA
PC40:5p,PC,6.84E-06,1.32E-05,1.27E-05,1.52E-05,6.22E-05,3.46E-05,0.000161166,0.000213425,40:5,NA
PC40:4p,PC,1.72E-05,2.75E-05,2.59E-05,2.13E-05,0.000142263,0.000392593,0.000439057,0.000947357,40:4,NA
PC40:3p,PC,1.12E-05,2.21E-05,3.82E-05,2.54E-05,8.73E-05,0.000362821,0.000384446,0.001152507,40:3,NA
PC40:2p,PC,2.74E-06,5.79E-06,1.63E-05,1.00E-05,5.04E-05,0.0002417,0.000136561,0.000287943,40:2,NA
PC40:1p,PC,4.92E-06,1.07E-05,1.83E-05,2.04E-05,6.57E-05,0.000219015,0.000117926,0.000268662,40:1,NA
PC32:2,PC,9.04E-05,0.000415344,0.000504483,0.000538425,0.000665514,0.00071811,0.004704732,0.012664953,32:2,NA
PC32:1,PC,0.00060985,0.003683844,0.00580862,0.006137315,0.007455888,0.003450156,0.008052278,0.015304643,32:1,NA
PC32:0,PC,0.001772157,0.008117447,0.010732404,0.010520099,0.010045793,0.008407673,0.034336145,0.054229713,32:0,NA
PC34:3,PC,0.000250483,0.001125551,0.001617103,0.002351086,0.003228764,0.002853894,0.008814837,0.020303149,34:3,NA
PC34:2,PC,0.001576912,0.008836256,0.013692429,0.026757996,0.034134126,0.050291429,0.226473213,0.515069827,34:2,NA
PC34:1,PC,0.002508948,0.012264011,0.022159206,0.033160795,0.056425932,0.031469915,0.105216613,0.204756831,34:1,NA
PC34:0,PC,0.000530421,0.002652726,0.003981683,0.004648848,0.006645252,0.004117689,0.013138608,0.022333981,34:0,NA
PC36:5,PC,7.76E-05,0.000424887,0.000715003,0.001637929,0.002385717,0.001967388,0.006711098,0.019874699,36:5,NA
PC36:4,PC,0.000973248,0.005885961,0.007826303,0.012645341,0.013052994,0.022477073,0.188705923,0.376174673,36:4,NA
PC36:3,PC,0.000701886,0.003207457,0.005482063,0.00868497,0.014789451,0.0123486,0.064201424,0.12956113,36:3,NA
PC36:2,PC,0.000972533,0.004091039,0.008550357,0.01717122,0.034627402,0.019517089,0.092670214,0.206202322,36:2,NA
PC36:1,PC,0.000407408,0.001778163,0.003696789,0.008211016,0.017291234,0.006556345,0.020218348,0.037906571,36:1,NA
PC36:0,PC,4.03E-05,0.000195378,0.000352487,0.000762709,0.001612764,0.000863142,0.001682105,0.002641985,36:0,NA
PC38:6,PC,0.000407745,0.00223812,0.004122963,0.020644517,0.029698918,0.024550766,0.410852235,0.533408064,38:6,NA
PC38:5,PC,0.000406353,0.001935346,0.003029511,0.006331902,0.010582784,0.009656159,0.077734227,0.136509117,38:5,NA
PC38:4,PC,0.000652441,0.002978258,0.004531483,0.009342319,0.014678561,0.016154094,0.143426553,0.258413299,38:4,NA
PC38:3,PC,0.000168988,0.000734518,0.001316777,0.002956457,0.007124729,0.00382344,0.034317116,0.053987432,38:3,NA
PC38:2,PC,4.14E-05,0.000181414,0.000406211,0.000699059,0.001756361,0.002195494,0.005710195,0.008887856,38:2,NA
PC38:1,PC,8.67E-06,4.38E-05,0.000122502,0.000177946,0.000355409,0.000532129,0.000649321,0.001516421,38:1,NA
PC40:7,PC,0.000103028,0.000557811,0.000789379,0.002066091,0.005331044,0.002937318,0.016667188,0.04034415,40:7,NA
PC40:6,PC,0.000214795,0.001020462,0.001873556,0.010888203,0.022297005,0.008144167,0.127922146,0.129775079,40:6,NA
PC40:5,PC,0.000104158,0.000433764,0.00065525,0.002028481,0.004509512,0.002017506,0.023624195,0.026478541,40:5,NA
PC40:4,PC,6.10E-05,0.000270034,0.000308949,0.00045928,0.00081912,0.001374734,0.003850516,0.00566078,40:4,NA
PC40:3,PC,1.77E-05,7.20E-05,0.000133044,0.000142046,0.000213361,0.000774108,0.000865381,0.001468192,40:3,NA
PC40:2,PC,8.83E-06,3.28E-05,8.30E-05,8.04E-05,0.000154616,0.0007943,0.000289452,0.000796069,40:2,NA
PC40:1,PC,3.95E-06,2.68E-05,5.49E-05,6.37E-05,7.21E-05,0.000335936,0.000202606,0.000361034,40:1,NA
PC42:7,PC,1.67E-05,6.17E-05,5.26E-05,6.13E-05,8.82E-05,8.15E-05,0.001024822,0.001183886,42:7,NA
PC42:6,PC,2.20E-05,7.46E-05,8.22E-05,0.00010704,0.00012744,0.000101233,0.000642653,0.000937776,42:6,NA
PC42:5,PC,2.38E-05,7.45E-05,7.27E-05,8.85E-05,0.000140305,0.000178693,0.000598157,0.001190652,42:5,NA
PC42:4,PC,8.18E-06,4.98E-05,4.78E-05,6.21E-05,7.11E-05,0.000279694,0.000331026,0.000634897,42:4,NA
PC42:3,PC,5.04E-06,2.22E-05,3.45E-05,3.01E-05,4.29E-05,0.000135623,0.000219877,0.000286417,42:3,NA
PC42:2,PC,5.05E-06,2.75E-05,4.10E-05,4.46E-05,6.53E-05,0.000314107,0.000186946,0.000186556,42:2,NA
PC42:1,PC,2.64E-06,2.18E-05,4.14E-05,4.38E-05,5.45E-05,0.000196902,6.15E-05,7.69E-05,42:1,NA
SM d18:1/14:0,SM,4.69E-06,1.89E-05,4.23E-05,6.87E-05,0.000110954,0.000159808,0.000965879,0.000934491,14:0,NA
SM d18:1/15:0,SM,2.22E-06,1.56E-05,2.06E-05,4.21E-05,6.92E-05,0.000120228,0.000391731,0.000813141,15:0,NA
SM d18:1/16:1,SM,2.29E-05,0.000111586,0.000150909,0.000294421,0.00040119,0.000594744,0.00113656,0.000787817,16:1,NA
SM d18:1/16:0,SM,0.000761506,0.002837113,0.005160478,0.009648769,0.013771517,0.016663467,0.04635192,0.0343452,16:0,NA
SM d18:0/16:0,SM,5.71E-05,0.000234375,0.00041283,0.000766972,0.001067847,0.001270845,0.00350691,0.00265656,16:0,NA
SM d18:1/17:0,SM,5.02E-06,2.06E-05,3.67E-05,8.37E-05,0.000175304,0.000160962,0.000161007,0.000410164,17:0,NA
SM d18:1/18:1,SM,6.03E-06,2.80E-05,4.22E-05,0.000106974,0.000262765,0.000229995,0.000288015,0.000517401,18:1,NA
SM d18:1/18:0,SM,5.37E-05,0.000232605,0.000587494,0.001688815,0.003624146,0.002791351,0.004157934,0.007618896,18:0,NA
SM d18:0/18:0,SM,4.51E-06,2.03E-05,5.39E-05,0.000146622,0.000291709,0.000241729,0.000282294,0.000627246,18:0,NA
SM d18:1/19:0,SM,6.31E-07,3.63E-06,8.33E-06,1.55E-05,3.41E-05,4.38E-05,9.34E-05,0.00049895,19:0,NA
SM d18:1/20:1,SM,2.43E-06,1.53E-05,2.90E-05,6.54E-05,0.00011287,0.000106219,0.000185069,0.000380626,20:1,NA
SM d18:1/20:0,SM,2.21E-05,0.000113167,0.000300981,0.000768542,0.001161938,0.00094737,0.001114636,0.003533084,20:0,NA
SM d18:1/21:0,SM,9.48E-07,4.27E-06,1.10E-05,2.83E-05,4.95E-05,5.84E-05,9.38E-05,0.001079011,21:0,NA
SM d18:1/22:1,SM,1.37E-05,9.96E-05,0.000226254,0.000516023,0.00063885,0.00074273,0.001071488,0.003269684,22:1,NA
SM d18:1/22:0,SM,8.95E-05,0.000691542,0.001775041,0.004426922,0.005408911,0.004784205,0.003795447,0.013624997,22:0,NA
SM d18:1/23:1,SM,2.36E-06,1.73E-05,3.36E-05,5.43E-05,8.96E-05,0.000147648,0.000396285,0.002953082,23:1,NA
SM d18:1/23:0,SM,7.61E-06,4.56E-05,8.36E-05,0.000167868,0.000263662,0.000403854,0.001587903,0.01077084,23:0,NA
SM d18:1/24:1,SM,0.000252142,0.001408968,0.003086203,0.004727922,0.007220785,0.009094039,0.028218618,0.056573414,24:1,NA
SM d18:1/24:0,SM,0.000174857,0.001331366,0.002850053,0.004462499,0.005059484,0.005650793,0.011215397,0.028607698,24:0,NA
SM d18:0/24:0,SM,1.56E-05,0.000147715,0.000286649,0.00048899,0.000512691,0.000547961,0.000919761,0.002806493,24:0,NA
SM d18:1/25:1,SM,9.77E-07,8.87E-06,2.23E-05,2.69E-05,4.03E-05,0.000118864,0.000206956,0.000912025,25:1,NA
SM d18:1/25:0,SM,1.20E-06,1.17E-05,2.17E-05,2.35E-05,3.51E-05,9.86E-05,0.00027296,0.001523715,25:0,NA
SM d18:1/26:1,SM,5.35E-06,2.96E-05,5.36E-05,6.60E-05,9.21E-05,0.00011761,0.00025001,0.000376792,26:1,NA
SM d18:1/26:0,SM,2.84E-06,2.05E-05,3.30E-05,4.69E-05,5.52E-05,7.98E-05,0.000143691,0.000213312,26:0,NA
GluCer d18:1/12:0,GluCer,1.46E-09,2.53E-09,3.45E-09,4.07E-09,1.57E-08,6.27E-08,2.36E-06,2.00E-06,12:0,NA
GluCer d18:1/14:0,GluCer,1.52E-07,2.50E-07,3.30E-07,4.02E-07,1.37E-06,1.17E-06,1.53E-05,1.60E-05,14:0,NA
